131	2021	99.15377	0.97959	1.97350e-03	-3.07782
135	2021	89.20610	0.95455	3.56949e-03	-3.61613
146	2021	25.97070	0.03226	2.04842e-05	-8.18636
150	2021	16.69262	0.00000	4.69596e-09	-9.09499
150	2021	8.38975	0.00000	1.27720e-10	-10.13710
151	2021	35.54291	0.12500	7.76821e-04	-7.41946
152	2021	50.79661	0.19565	5.01495e-05	-6.01061
153	2021	19.82546	0.00000	4.70640e-07	-8.94252
154	2021	23.90472	0.00000	8.54778e-08	-8.34288
156	2021	73.42876	0.77778	2.68243e-04	-4.51880
157	2021	83.55425	1.00000	1.42291e-04	-3.85981
158	2021	56.31672	0.31579	1.91887e-03	-5.89657
160	2021	118.11504	1.00000	1.38373e-02	-2.14524
161	milky	107.49435	1.00000	2.33318e-03	-2.63205
186	2021	75.38968	0.95455	5.52599e-04	-4.45039
187	2021	43.48684	0.02222	4.20720e-05	-6.68254
188	2021	39.10093	0.30769	1.86485e-04	-7.47728
190	2021	93.74032	0.90476	3.44017e-03	-3.36283
192	2021	44.52547	0.13636	9.95760e-06	-6.44966
194	2021	92.11449	0.91304	1.72574e-03	-3.47207
195	2021	84.83479	0.75472	1.34551e-03	-3.86843
198	2021	94.34412	0.86111	1.84699e-03	-3.36275
199	2021	95.17419	1.00000	2.70895e-03	-3.26603
201	2021	46.08935	0.50000	1.17810e-04	-6.91705
207	6113	24.03148	0.00000	2.11308e-07	-8.32848
208	2850	12.60533	0.00000	1.37793e-08	-9.61997
209	5526	30.73117	0.02326	1.30027e-06	-7.77553
211	6554	70.64908	0.78431	6.25950e-05	-4.66975
212	2947	11.35345	0.00000	4.75312e-09	-9.72438
213	8318	81.38384	0.89189	2.69920e-04	-4.07792
214	5648	51.09902	0.03030	3.16798e-06	-5.90660
216	2700	15.20433	0.04167	5.11752e-06	-9.49745
217	7374	33.48952	0.00000	5.34870e-07	-7.46264
218	3956	46.03771	0.02857	2.05836e-06	-6.31953
220	6101	71.25290	0.95652	9.56792e-05	-4.58219
222	7201	108.47050	1.00000	2.92386e-03	-2.58775
223	1462	39.68027	0.12500	8.34713e-05	-6.87131
224	2883	46.44359	0.03030	4.85075e-04	-6.26730
225	1680	49.64789	0.00000	1.53213e-06	-5.97577
226	0001	38.79620	0.05882	2.31341e-06	-6.92989
227	6001	47.17184	0.33333	2.01257e-04	-6.73157
228	6102	76.44246	1.00000	6.00773e-05	-4.25868
229	2884	42.66628	0.00000	7.58319e-07	-6.50607
231	0360	47.64474	0.00000	1.03155e-06	-6.10996
234	4202	61.73920	0.38710	1.26277e-05	-5.16776
235	6105	52.13835	0.03571	6.45705e-06	-5.84554
237	1500	47.53164	0.00000	1.16503e-06	-6.12327
238	1486	28.56022	0.00000	3.46959e-08	-7.67008
239	2923	52.18121	0.09091	4.83664e-05	-5.82753
240	2971	36.17699	0.06061	1.32315e-04	-7.11478
241	2530	36.54716	0.04167	2.42423e-05	-7.05253
242	3077	43.19611	0.00000	1.13572e-06	-6.47342
243	2733	36.16643	0.04348	3.47460e-06	-7.06399
244	2535	47.75640	0.00000	1.65700e-06	-6.13142
