Index	X	Acquisition
0	-2.81232614386501	5
1	-2.78350594966904	29
2	-2.75468575547306	43
3	-2.72586556127708	27
4	-2.6970453670811	33
5	-2.66822517288512	31
6	-2.63940497868915	29
7	-2.61058478449317	35
8	-2.58176459029719	33
9	-2.55294439610121	33
10	-2.52412420190523	36
11	-2.49530400770925	41
12	-2.46648381351328	43
13	-2.4376636193173	34
14	-2.40884342512132	38
15	-2.38002323092534	31
16	-2.35120303672936	44
17	-2.32238284253339	19
18	-2.29356264833741	29
19	-2.26474245414143	28
20	-2.23592225994545	41
21	-2.20710206574947	41
22	-2.1782818715535	40
23	-2.14946167735752	28
24	-2.12064148316154	28
25	-2.09182128896556	26
26	-2.06300109476958	40
27	-2.03418090057361	36
28	-2.00536070637763	38
29	-1.97654051218165	51
30	-1.94772031798567	34
31	-1.91890012378969	28
32	-1.89007992959371	31
33	-1.86125973539774	28
34	-1.83243954120176	38
35	-1.80361934700578	37
36	-1.7747991528098	40
37	-1.74597895861382	34
38	-1.71715876441785	32
39	-1.68833857022187	36
40	-1.65951837602589	32
41	-1.63069818182991	43
42	-1.60187798763393	29
43	-1.57305779343796	43
44	-1.54423759924198	32
45	-1.515417405046	34
46	-1.48659721085002	35
47	-1.45777701665404	30
48	-1.42895682245807	41
49	-1.40013662826209	33
50	-1.37131643406611	38
51	-1.34249623987013	29
52	-1.31367604567415	47
53	-1.28485585147817	32
54	-1.2560356572822	36
55	-1.22721546308622	42
56	-1.19839526889024	28
57	-1.16957507469426	47
58	-1.14075488049828	34
59	-1.11193468630231	34
60	-1.08311449210633	27
61	-1.05429429791035	35
62	-1.02547410371437	25
63	-0.996653909518394	37
64	-0.967833715322416	31
65	-0.939013521126438	32
66	-0.910193326930459	30
67	-0.881373132734481	33
68	-0.852552938538503	44
69	-0.823732744342525	26
70	-0.794912550146547	25
71	-0.766092355950569	52
72	-0.737272161754591	42
73	-0.708451967558613	33
74	-0.679631773362635	43
75	-0.650811579166657	27
76	-0.621991384970679	27
77	-0.5931711907747	24
78	-0.564350996578722	39
79	-0.535530802382744	33
80	-0.506710608186766	29
81	-0.477890413990788	33
82	-0.44907021979481	40
83	-0.420250025598832	28
84	-0.391429831402853	29
85	-0.362609637206876	37
86	-0.333789443010898	36
87	-0.30496924881492	34
88	-0.276149054618941	33
89	-0.247328860422963	42
90	-0.218508666226985	37
91	-0.189688472031007	32
92	-0.160868277835029	37
93	-0.132048083639051	27
94	-0.103227889443073	32
95	-0.0744076952470945	33
96	-0.0455875010511164	29
97	-0.0167673068551383	36
98	0.0120528873752517	34
99	0.0408730829026909	34
100	0.0696932825246999	38
101	0.0985134891354989	22
102	0.12733370562931	29
103	0.156153934900352	43
104	0.184974179842847	24
105	0.213794443351015	39
106	0.242614728319078	30
107	0.271435037641255	28
108	0.300255374211767	25
109	0.329075740924835	37
110	0.35789614067468	36
111	0.386716576355523	42
112	0.415537050861583	38
113	0.444357567087083	32
114	0.473178127926242	31
115	0.501998736273281	42
116	0.530819395022421	34
117	0.559640107067882	46
118	0.588460875303886	33
119	0.617281702624653	55
120	0.646102591924404	47
121	0.674923546097359	44
122	0.703744568037739	42
123	0.732565660639765	31
124	0.761386826797657	45
125	0.790208069405636	53
126	0.819029391357924	46
127	0.84785079554874	37
128	0.876672284872305	49
129	0.90549386222284	42
130	0.934315530494566	43
131	0.963137292581703	43
132	0.991959151378472	41
133	1.02078110977909	42
134	1.04960317067779	38
135	1.07842533696878	41
136	1.10724761154628	34
137	1.13606999730452	43
138	1.16489249713772	43
139	1.19371511394009	39
140	1.22253785060586	45
141	1.25136071002925	44
142	1.28018369510448	32
143	1.30900680872576	30
144	1.33783005378733	32
145	1.3666534331834	34
146	1.39547694980819	42
147	1.42430060655592	49
148	1.45312440632082	34
149	1.4819483519971	42
150	1.51077244647898	40
151	1.53959669266069	42
152	1.56842109343645	34
153	1.59724565170047	41
154	1.62607037034698	30
155	1.6548952522702	40
156	1.68372030036434	47
157	1.71254551752364	39
158	1.74137090664231	34
159	1.77019647061456	50
160	1.79902221233463	36
161	1.82784813469673	41
162	1.85667424059508	43
163	1.88550053292391	43
164	1.91432701457743	42
165	1.94315368844987	45
166	1.97198055743544	47
167	2.00080762442837	33
