#Index	X	Acquisition
0	-2.81232614386501	5
1	-2.78350594966904	10
2	-2.75468575547306	30
3	-2.72586556127708	25
4	-2.6970453670811	25
5	-2.66822517288512	31
6	-2.63940497868915	26
7	-2.61058478449317	24
8	-2.58176459029719	31
9	-2.55294439610121	29
10	-2.52412420190523	28
11	-2.49530400770925	18
12	-2.46648381351328	23
13	-2.4376636193173	29
14	-2.40884342512132	22
15	-2.38002323092534	21
16	-2.35120303672936	20
17	-2.32238284253339	23
18	-2.29356264833741	27
19	-2.26474245414143	31
20	-2.23592225994545	29
21	-2.20710206574947	18
22	-2.1782818715535	25
23	-2.14946167735752	34
24	-2.12064148316154	26
25	-2.09182128896556	26
26	-2.06300109476958	31
27	-2.03418090057361	21
28	-2.00536070637763	34
29	-1.97654051218165	27
30	-1.94772031798567	22
31	-1.91890012378969	23
32	-1.89007992959371	18
33	-1.86125973539774	24
34	-1.83243954120176	25
35	-1.80361934700578	28
36	-1.7747991528098	29
37	-1.74597895861382	19
38	-1.71715876441785	18
39	-1.68833857022187	25
40	-1.65951837602589	19
41	-1.63069818182991	26
42	-1.60187798763393	27
43	-1.57305779343796	34
44	-1.54423759924198	30
45	-1.515417405046	28
46	-1.48659721085002	26
47	-1.45777701665404	34
48	-1.42895682245807	26
49	-1.40013662826209	16
50	-1.37131643406611	34
51	-1.34249623987013	24
52	-1.31367604567415	32
53	-1.28485585147817	26
54	-1.2560356572822	22
55	-1.22721546308622	28
56	-1.19839526889024	22
57	-1.16957507469426	44
58	-1.14075488049828	29
59	-1.11193468630231	26
60	-1.08311449210633	31
61	-1.05429429791035	23
62	-1.02547410371437	22
63	-0.996653909518394	39
64	-0.967833715322416	40
65	-0.939013521126438	24
66	-0.910193326930459	23
67	-0.881373132734481	29
68	-0.852552938538503	34
69	-0.823732744342525	20
70	-0.794912550146547	22
71	-0.766092355950569	29
72	-0.737272161754591	16
73	-0.708451967558613	31
74	-0.679631773362635	32
75	-0.650811579166657	26
76	-0.621991384970679	21
77	-0.5931711907747	17
78	-0.564350996578722	20
79	-0.535530802382744	34
80	-0.506710608186766	34
81	-0.477890413990788	21
82	-0.44907021979481	31
83	-0.420250025598832	22
84	-0.391429831402853	33
85	-0.362609637206876	28
86	-0.333789443010898	14
87	-0.30496924881492	25
88	-0.276149054618941	26
89	-0.247328860422963	26
90	-0.218508666226985	26
91	-0.189688472031007	28
92	-0.160868277835029	17
93	-0.132048083639051	33
94	-0.103227889443073	26
95	-0.0744076952470945	21
96	-0.0455875010511164	22
97	-0.0167673068551383	28
98	0.0120528873752517	30
99	0.0408730829026909	28
100	0.0696932825246999	23
101	0.0985134891354989	29
102	0.12733370562931	23
103	0.156153934900352	26
104	0.184974179842847	25
105	0.213794443351015	28
106	0.242614728319078	27
107	0.271435037641255	25
108	0.300255374211767	22
109	0.329075740924835	28
110	0.35789614067468	32
111	0.386716576355523	24
112	0.415537050861583	32
113	0.444357567087083	25
114	0.473178127926242	27
115	0.501998736273281	32
116	0.530819395022421	21
117	0.559640107067882	26
118	0.588460875303886	29
119	0.617281702624653	34
120	0.646102591924404	21
121	0.674923546097359	27
122	0.703744568037739	24
123	0.732565660639765	30
124	0.761386826797657	31
125	0.790208069405636	31
126	0.819029391357924	29
127	0.84785079554874	44
128	0.876672284872305	32
129	0.90549386222284	31
130	0.934315530494566	26
131	0.963137292581703	31
132	0.991959151378472	35
133	1.02078110977909	24
134	1.04960317067779	34
135	1.07842533696878	37
136	1.10724761154628	40
137	1.13606999730452	29
138	1.16489249713772	24
139	1.19371511394009	36
140	1.22253785060586	25
141	1.25136071002925	26
142	1.28018369510448	24
143	1.30900680872576	26
144	1.33783005378733	19
145	1.3666534331834	20
146	1.39547694980819	25
147	1.42430060655592	23
148	1.45312440632082	42
149	1.4819483519971	29
150	1.51077244647898	33
151	1.53959669266069	35
152	1.56842109343645	30
153	1.59724565170047	21
154	1.62607037034698	33
155	1.6548952522702	41
156	1.68372030036434	32
157	1.71254551752364	34
158	1.74137090664231	33
159	1.77019647061456	36
160	1.79902221233463	21
161	1.82784813469673	41
162	1.85667424059508	25
163	1.88550053292391	33
164	1.91432701457743	39
165	1.94315368844987	36
166	1.97198055743544	36
167	2.00080762442837	32
168	2.02963489232287	42
169	2.05846236401317	41
170	2.08729004239349	43
171	2.11611793035805	35
172	2.14494603080107	44
173	2.17377434661677	47
174	2.20260288069938	40
175	2.2314316359431	45
176	2.26026061524217	58
177	2.2890898214908	56
178	2.31791925758321	59
179	2.34674892641363	50
180	2.37557883087627	57
181	2.40440897386536	60
182	2.43323935827512	66
183	2.46206998699976	59
184	2.49090086293351	64
185	2.51973198897059	65
186	2.54856336800523	62
187	2.57739500293163	55
188	2.60622689664402	48
189	2.63505905203662	39
190	2.66389147200366	46
191	2.69272415943935	62
192	2.72155711723791	57
193	2.75039034829356	63
194	2.77922385550054	39
195	2.80805764175304	34
196	2.83689170994531	49
197	2.86572606297155	50
198	2.89456070372599	41
199	2.92339563510285	42
200	2.95223085999635	51
201	2.9810663813007	36
202	3.00990220191014	50
203	3.03873832471888	48
204	3.06757475262114	45
205	3.09641148851115	42
206	3.12524853528311	44
207	3.15408589583126	39
208	3.18292357304982	54
209	3.211761569833	40
210	3.24059988907503	35
211	3.26943853367013	37
212	3.29827750651251	41
213	3.3271168104964	34
214	3.35595644851602	35
215	3.38479642346559	35
216	3.41363673823933	54
217	3.44247739573146	41
218	3.47131839883621	43
219	3.50015975044778	39
220	3.52900145346041	41
221	3.55784351076831	40
222	3.58668592526571	41
223	3.61552869984682	42
224	3.64437183740587	43
225	3.67321534083708	48
226	3.70205921303466	45
227	3.73090345689284	39
228	3.75974807530584	45
229	3.78859307116788	49
230	3.81743844737318	34
231	3.84628420681596	40
232	3.87513035239044	43
233	3.90397688699085	52
234	3.93282381351139	34
235	3.9616711348463	36
236	3.9905188538898	41
237	4.0193669735361	46
238	4.04821549667942	47
239	4.07706442621399	38
240	4.10591376503403	43
241	4.13476351603376	32
242	4.16361368210739	32
243	4.19246426614916	33
244	4.22131527105327	36
245	4.25016669971396	40
246	4.27901855502543	25
247	4.30787083988192	37
248	4.33672355717764	46
249	4.36557670980681	58
250	4.39443030066366	37
251	4.4232843326424	57
252	4.45213880863726	42
253	4.48099373154245	43
254	4.50984910425221	58
255	4.53870492966073	41
256	4.56756121066226	33
257	4.59641795015101	29
