#Index	X	Acquisition
0	-2.81232614386501	4
1	-2.78350594966904	14
2	-2.75468575547306	29
3	-2.72586556127708	32
4	-2.6970453670811	29
5	-2.66822517288512	23
6	-2.63940497868915	20
7	-2.61058478449317	21
8	-2.58176459029719	30
9	-2.55294439610121	25
10	-2.52412420190523	20
11	-2.49530400770925	35
12	-2.46648381351328	38
13	-2.4376636193173	32
14	-2.40884342512132	36
15	-2.38002323092534	34
16	-2.35120303672936	22
17	-2.32238284253339	40
18	-2.29356264833741	32
19	-2.26474245414143	27
20	-2.23592225994545	30
21	-2.20710206574947	22
22	-2.1782818715535	34
23	-2.14946167735752	28
24	-2.12064148316154	32
25	-2.09182128896556	20
26	-2.06300109476958	30
27	-2.03418090057361	28
28	-2.00536070637763	37
29	-1.97654051218165	25
30	-1.94772031798567	36
31	-1.91890012378969	29
32	-1.89007992959371	44
33	-1.86125973539774	28
34	-1.83243954120176	26
35	-1.80361934700578	31
36	-1.7747991528098	28
37	-1.74597895861382	20
38	-1.71715876441785	33
39	-1.68833857022187	32
40	-1.65951837602589	21
41	-1.63069818182991	23
42	-1.60187798763393	24
43	-1.57305779343796	32
44	-1.54423759924198	28
45	-1.515417405046	27
46	-1.48659721085002	31
47	-1.45777701665404	25
48	-1.42895682245807	29
49	-1.40013662826209	32
50	-1.37131643406611	22
51	-1.34249623987013	22
52	-1.31367604567415	39
53	-1.28485585147817	18
54	-1.2560356572822	29
55	-1.22721546308622	27
56	-1.19839526889024	34
57	-1.16957507469426	28
58	-1.14075488049828	24
59	-1.11193468630231	31
60	-1.08311449210633	32
61	-1.05429429791035	17
62	-1.02547410371437	38
63	-0.996653909518394	20
64	-0.967833715322416	23
65	-0.939013521126438	32
66	-0.910193326930459	32
67	-0.881373132734481	33
68	-0.852552938538503	31
69	-0.823732744342525	26
70	-0.794912550146547	34
71	-0.766092355950569	28
72	-0.737272161754591	35
73	-0.708451967558613	28
74	-0.679631773362635	25
75	-0.650811579166657	20
76	-0.621991384970679	41
77	-0.5931711907747	22
78	-0.564350996578722	32
79	-0.535530802382744	28
80	-0.506710608186766	29
81	-0.477890413990788	28
82	-0.44907021979481	28
83	-0.420250025598832	28
84	-0.391429831402853	29
85	-0.362609637206876	35
86	-0.333789443010898	29
87	-0.30496924881492	34
88	-0.276149054618941	27
89	-0.247328860422963	26
90	-0.218508666226985	30
91	-0.189688472031007	27
92	-0.160868277835029	23
93	-0.132048083639051	20
94	-0.103227889443073	32
95	-0.0744076952470945	36
96	-0.0455875010511164	32
97	-0.0167673068551383	19
98	0.0120528873752517	22
99	0.0408730829026909	36
100	0.0696932825246999	31
101	0.0985134891354989	41
102	0.12733370562931	29
103	0.156153934900352	29
104	0.184974179842847	36
105	0.213794443351015	23
106	0.242614728319078	29
107	0.271435037641255	25
108	0.300255374211767	21
109	0.329075740924835	32
110	0.35789614067468	34
111	0.386716576355523	25
112	0.415537050861583	22
113	0.444357567087083	27
114	0.473178127926242	32
115	0.501998736273281	33
116	0.530819395022421	26
117	0.559640107067882	25
118	0.588460875303886	32
119	0.617281702624653	25
120	0.646102591924404	27
121	0.674923546097359	38
122	0.703744568037739	34
123	0.732565660639765	32
124	0.761386826797657	29
125	0.790208069405636	38
126	0.819029391357924	35
127	0.84785079554874	36
128	0.876672284872305	41
129	0.90549386222284	35
130	0.934315530494566	35
131	0.963137292581703	36
132	0.991959151378472	39
133	1.02078110977909	31
134	1.04960317067779	20
135	1.07842533696878	31
136	1.10724761154628	30
137	1.13606999730452	44
138	1.16489249713772	31
139	1.19371511394009	46
140	1.22253785060586	26
141	1.25136071002925	50
142	1.28018369510448	40
143	1.30900680872576	30
144	1.33783005378733	33
145	1.3666534331834	31
146	1.39547694980819	35
147	1.42430060655592	33
148	1.45312440632082	34
149	1.4819483519971	22
150	1.51077244647898	28
151	1.53959669266069	26
152	1.56842109343645	23
153	1.59724565170047	44
154	1.62607037034698	27
155	1.6548952522702	30
156	1.68372030036434	34
157	1.71254551752364	31
158	1.74137090664231	33
159	1.77019647061456	27
160	1.79902221233463	40
161	1.82784813469673	33
162	1.85667424059508	30
163	1.88550053292391	27
164	1.91432701457743	36
165	1.94315368844987	41
166	1.97198055743544	35
167	2.00080762442837	36
168	2.02963489232287	27
169	2.05846236401317	46
170	2.08729004239349	42
171	2.11611793035805	34
172	2.14494603080107	48
173	2.17377434661677	49
174	2.20260288069938	53
175	2.2314316359431	58
176	2.26026061524217	49
177	2.2890898214908	68
178	2.31791925758321	63
179	2.34674892641363	65
180	2.37557883087627	75
181	2.40440897386536	101
182	2.43323935827512	89
183	2.46206998699976	82
184	2.49090086293351	82
185	2.51973198897059	84
186	2.54856336800523	68
187	2.57739500293163	79
188	2.60622689664402	63
189	2.63505905203662	88
190	2.66389147200366	85
191	2.69272415943935	73
192	2.72155711723791	81
193	2.75039034829356	67
194	2.77922385550054	55
195	2.80805764175304	66
196	2.83689170994531	80
197	2.86572606297155	83
198	2.89456070372599	65
199	2.92339563510285	66
200	2.95223085999635	54
201	2.9810663813007	57
202	3.00990220191014	58
203	3.03873832471888	37
204	3.06757475262114	68
205	3.09641148851115	45
206	3.12524853528311	58
207	3.15408589583126	61
208	3.18292357304982	55
209	3.211761569833	59
210	3.24059988907503	64
211	3.26943853367013	52
212	3.29827750651251	63
213	3.3271168104964	55
214	3.35595644851602	64
215	3.38479642346559	51
216	3.41363673823933	50
217	3.44247739573146	62
218	3.47131839883621	54
219	3.50015975044778	60
220	3.52900145346041	43
221	3.55784351076831	36
222	3.58668592526571	57
223	3.61552869984682	50
224	3.64437183740587	59
225	3.67321534083708	48
226	3.70205921303466	64
227	3.73090345689284	57
228	3.75974807530584	46
229	3.78859307116788	46
230	3.81743844737318	48
231	3.84628420681596	45
232	3.87513035239044	42
233	3.90397688699085	41
234	3.93282381351139	51
235	3.9616711348463	45
236	3.9905188538898	46
237	4.0193669735361	42
238	4.04821549667942	33
239	4.07706442621399	37
240	4.10591376503403	36
241	4.13476351603376	38
242	4.16361368210739	44
243	4.19246426614916	42
244	4.22131527105327	42
245	4.25016669971396	39
246	4.27901855502543	52
247	4.30787083988192	40
248	4.33672355717764	34
249	4.36557670980681	43
250	4.39443030066366	47
251	4.4232843326424	55
252	4.45213880863726	46
253	4.48099373154245	33
254	4.50984910425221	39
255	4.53870492966073	46
256	4.56756121066226	34
257	4.59641795015101	43
258	4.62527515102119	45
259	4.65413281616704	43
260	4.68299094848276	42
261	4.71184955086259	47
262	4.74070862620074	48
263	4.76956817739144	31
264	4.79842820732889	36
265	4.82728871890733	52
266	4.85614971502098	36
267	4.88501119856405	53
268	4.91387317243077	43
269	4.94273563951536	57
270	4.97159860271203	44
271	5.00046206491502	41
272	5.02932602901853	34
273	5.05819049791679	38
274	5.08705547450402	56
275	5.11592096167445	52
276	5.14478696232229	49
277	5.17365347934176	54
278	5.20252051562708	41
279	5.23138807407248	46
280	5.26025615757217	37
281	5.28912476902037	37
282	5.31799391131132	43
283	5.34686358733922	58
284	5.3757337999983	48
285	5.40460455218277	42
286	5.43347584678687	42
287	5.46234768670481	41
288	5.4912200748308	43
289	5.52009301405908	49
290	5.54896650728386	55
291	5.57784055739936	54
292	5.60671516729981	51
293	5.63559033987941	28
294	5.66446607803241	35
295	5.69334238465301	54
296	5.72221926263543	59
297	5.7510967148739	54
298	5.77997474426264	39
299	5.80885335369587	57
300	5.8377325460678	45
301	5.86661232427267	63
302	5.89549269120468	46
303	5.92437364975807	54
304	5.95325520282705	47
305	5.98213735330584	48
306	6.01102010408866	47
307	6.03990345806974	58
308	6.06878741814329	62
309	6.09767198720353	45
310	6.1265571681447	63
311	6.155442963861	48
312	6.18432937724665	56
313	6.21321641119588	51
314	6.24210406860292	46
315	6.27099235236197	61
316	6.29988126536726	55
317	6.32877081051301	48
318	6.35766099069344	52
319	6.38655180880278	53
320	6.41544326773523	58
321	6.44433537038503	50
322	6.4732281196464	59
323	6.50212151841355	65
324	6.5310155695807	55
325	6.55991027604209	69
326	6.58880564069191	60
327	6.61770166642441	54
328	6.64659835613379	54
329	6.67549571271429	64
330	6.70439373906011	59
331	6.73329243806548	59
332	6.76219181262462	64
333	6.79109186563176	63
334	6.81999259998111	63
335	6.84889401856689	68
336	6.87779612428332	50
337	6.90669892002463	63
338	6.93560240868504	60
339	6.96450659315876	77
340	6.99341147634002	67
341	7.02231706112303	95
342	7.05122335040202	70
343	7.08013034707121	79
344	7.10903805402482	84
345	7.13794647415707	68
346	7.16685561036218	103
347	7.19576546553438	89
348	7.22467604256787	102
349	7.25358734435689	93
350	7.28249937379565	114
351	7.31141213377838	88
352	7.34032562719929	122
353	7.3692398569526	137
354	7.39815482593255	130
355	7.42707053703333	170
356	7.45598699314919	149
357	7.48490419717434	199
358	7.51382215200299	221
359	7.54274086052938	234
360	7.57166032564771	269
361	7.60058055025222	313
362	7.62950153723711	371
363	7.65842328949662	437
364	7.68734580992497	551
365	7.71626910141637	879
366	7.74519316686504	1243
367	7.77411800916521	1601
368	7.80304363121109	1956
369	7.83197003589691	2461
370	7.86089722611689	2851
371	7.88982520476524	3117
372	7.9187539747362	3478
373	7.94768353892397	3723
374	7.97661390022279	4138
375	8.00554506152686	4511
376	8.03447702573042	4621
377	8.06340979572768	4770
378	8.09234337441286	4920
379	8.12127776468019	5243
380	8.15021296942388	5245
381	8.17914899153815	5358
382	8.20808583391724	5501
383	8.23702349945534	5523
384	8.2659619910467	5472
385	8.29490131158552	5374
386	8.32384146396603	5636
387	8.35278245108245	5609
388	8.381724275829	5526
389	8.4106669410999	5578
390	8.43961044978938	5545
391	8.46855480479164	5609
392	8.49750000900092	5559
393	8.52644606531143	5547
394	8.5553929766174	5587
395	8.58434074581304	5460
396	8.61328937579257	5332
397	8.64223886945022	5364
398	8.67118922968021	5398
399	8.70014045937675	5312
400	8.72909256143408	5508
401	8.7580455387464	5386
402	8.78699939420795	5357
403	8.81595413071293	5345
404	8.84490975115557	5257
405	8.8738662584301	5304
406	8.90282365543073	5351
407	8.93178194505168	5500
408	8.96074113018717	5450
409	8.98970121373143	5335
410	9.01866219857868	5350
411	9.04762408762313	5391
412	9.07658688375901	5328
413	9.10555058988053	5255
414	9.13451520888193	5215
415	9.16348074365741	5398
416	9.1924471971012	5450
417	9.22141457210752	5300
418	9.25038287157059	5326
419	9.27935209838464	5252
420	9.30832225544387	5280
421	9.33729334564252	5267
422	9.3662653718748	5101
423	9.39523833703494	5163
424	9.42421224401715	5204
425	9.45318709571566	5268
426	9.48216289502468	5254
427	9.51113964483844	5251
428	9.54011734805116	5060
429	9.56909600755706	5113
430	9.59807562625035	5075
431	9.62705620702527	5112
432	9.65603775277603	5104
433	9.68502026639684	5168
434	9.71400375078194	5122
435	9.74298820882554	5249
436	9.77197364342187	5247
437	9.80096005746514	5305
438	9.82994745384957	5085
439	9.85893583546939	5193
440	9.88792520521882	5005
441	9.91691556599207	5139
442	9.94590692068337	5109
443	9.97489927218694	4993
444	10.003892623397	5110
445	10.0328869772078	5199
446	10.0618823365135	4961
447	10.0908787042083	5246
448	10.1198760831865	5116
449	10.1488744763423	5196
450	10.17787388657	5178
451	10.2068743167636	5193
452	10.2358757698175	5212
453	10.2648782486259	5206
454	10.293881756083	5022
455	10.322886295083	5289
456	10.3518918685201	5144
457	10.3808984792886	5206
458	10.4099061302827	5098
459	10.4389148243966	5230
460	10.4679245645245	5231
461	10.4969353535606	5270
462	10.5259471943992	5143
463	10.5549600899345	5241
464	10.5839740430607	5042
465	10.612989056672	5159
466	10.6420051336626	5040
467	10.6710222769268	5150
468	10.7000404893588	5169
469	10.7290597738528	5249
470	10.7580801333031	5196
471	10.7871015706037	5282
472	10.8161240886491	5220
473	10.8451476903333	5196
474	10.8741723785507	5085
475	10.9031981561953	5221
476	10.9322250261616	5289
477	10.9612529913436	5210
478	10.9902820546356	5074
479	11.0193122189318	5142
480	11.0483434871264	5095
481	11.0773758621137	5142
482	11.1064093467879	5095
483	11.1354439440431	5175
484	11.1644796567737	5104
485	11.1935164878738	5177
