#Index	X	Acquisition
0	-2.81232614386501	7
1	-2.78350594966904	18
2	-2.75468575547306	32
3	-2.72586556127708	27
4	-2.6970453670811	39
5	-2.66822517288512	27
6	-2.63940497868915	24
7	-2.61058478449317	26
8	-2.58176459029719	29
9	-2.55294439610121	29
10	-2.52412420190523	23
11	-2.49530400770925	27
12	-2.46648381351328	18
13	-2.4376636193173	20
14	-2.40884342512132	32
15	-2.38002323092534	26
16	-2.35120303672936	24
17	-2.32238284253339	35
18	-2.29356264833741	28
19	-2.26474245414143	28
20	-2.23592225994545	24
21	-2.20710206574947	31
22	-2.1782818715535	36
23	-2.14946167735752	42
24	-2.12064148316154	28
25	-2.09182128896556	27
26	-2.06300109476958	27
27	-2.03418090057361	25
28	-2.00536070637763	17
29	-1.97654051218165	27
30	-1.94772031798567	20
31	-1.91890012378969	30
32	-1.89007992959371	34
33	-1.86125973539774	27
34	-1.83243954120176	27
35	-1.80361934700578	25
36	-1.7747991528098	32
37	-1.74597895861382	21
38	-1.71715876441785	25
39	-1.68833857022187	24
40	-1.65951837602589	32
41	-1.63069818182991	29
42	-1.60187798763393	36
43	-1.57305779343796	30
44	-1.54423759924198	26
45	-1.515417405046	24
46	-1.48659721085002	29
47	-1.45777701665404	36
48	-1.42895682245807	28
49	-1.40013662826209	24
50	-1.37131643406611	34
51	-1.34249623987013	30
52	-1.31367604567415	36
53	-1.28485585147817	29
54	-1.2560356572822	19
55	-1.22721546308622	26
56	-1.19839526889024	27
57	-1.16957507469426	18
58	-1.14075488049828	25
59	-1.11193468630231	26
60	-1.08311449210633	26
61	-1.05429429791035	32
62	-1.02547410371437	35
63	-0.996653909518394	26
64	-0.967833715322416	32
65	-0.939013521126438	40
66	-0.910193326930459	17
67	-0.881373132734481	22
68	-0.852552938538503	30
69	-0.823732744342525	36
70	-0.794912550146547	30
71	-0.766092355950569	34
72	-0.737272161754591	23
73	-0.708451967558613	24
74	-0.679631773362635	30
75	-0.650811579166657	26
76	-0.621991384970679	34
77	-0.5931711907747	28
78	-0.564350996578722	22
79	-0.535530802382744	22
80	-0.506710608186766	29
81	-0.477890413990788	21
82	-0.44907021979481	24
83	-0.420250025598832	30
84	-0.391429831402853	42
85	-0.362609637206876	27
86	-0.333789443010898	31
87	-0.30496924881492	28
88	-0.276149054618941	28
89	-0.247328860422963	25
90	-0.218508666226985	28
91	-0.189688472031007	36
92	-0.160868277835029	28
93	-0.132048083639051	24
94	-0.103227889443073	30
95	-0.0744076952470945	21
96	-0.0455875010511164	29
97	-0.0167673068551383	29
98	0.0120528873752517	28
99	0.0408730829026909	24
100	0.0696932825246999	24
101	0.0985134891354989	27
102	0.12733370562931	35
103	0.156153934900352	22
104	0.184974179842847	31
105	0.213794443351015	26
106	0.242614728319078	20
107	0.271435037641255	30
108	0.300255374211767	24
109	0.329075740924835	24
110	0.35789614067468	25
111	0.386716576355523	30
112	0.415537050861583	38
113	0.444357567087083	26
114	0.473178127926242	25
115	0.501998736273281	31
116	0.530819395022421	22
117	0.559640107067882	31
118	0.588460875303886	43
119	0.617281702624653	20
120	0.646102591924404	29
121	0.674923546097359	19
122	0.703744568037739	32
123	0.732565660639765	30
124	0.761386826797657	24
125	0.790208069405636	33
126	0.819029391357924	28
127	0.84785079554874	29
128	0.876672284872305	42
129	0.90549386222284	30
130	0.934315530494566	34
131	0.963137292581703	23
132	0.991959151378472	35
133	1.02078110977909	49
134	1.04960317067779	31
135	1.07842533696878	36
136	1.10724761154628	35
137	1.13606999730452	27
138	1.16489249713772	36
139	1.19371511394009	19
140	1.22253785060586	25
141	1.25136071002925	32
142	1.28018369510448	30
143	1.30900680872576	32
144	1.33783005378733	26
145	1.3666534331834	37
