Index	X	Acquisition
0	-2.81232614386501	1
1	-2.78350594966904	8
2	-2.75468575547306	20
3	-2.72586556127708	19
4	-2.6970453670811	19
5	-2.66822517288512	15
6	-2.63940497868915	19
7	-2.61058478449317	25
8	-2.58176459029719	13
9	-2.55294439610121	22
10	-2.52412420190523	21
11	-2.49530400770925	16
12	-2.46648381351328	22
13	-2.4376636193173	11
14	-2.40884342512132	15
15	-2.38002323092534	21
16	-2.35120303672936	26
17	-2.32238284253339	17
18	-2.29356264833741	33
19	-2.26474245414143	18
20	-2.23592225994545	23
21	-2.20710206574947	22
22	-2.1782818715535	15
23	-2.14946167735752	19
24	-2.12064148316154	19
25	-2.09182128896556	13
26	-2.06300109476958	15
27	-2.03418090057361	23
28	-2.00536070637763	21
29	-1.97654051218165	14
30	-1.94772031798567	20
31	-1.91890012378969	23
32	-1.89007992959371	20
33	-1.86125973539774	11
34	-1.83243954120176	8
35	-1.80361934700578	19
36	-1.7747991528098	13
37	-1.74597895861382	17
38	-1.71715876441785	25
39	-1.68833857022187	20
40	-1.65951837602589	24
41	-1.63069818182991	22
42	-1.60187798763393	16
43	-1.57305779343796	19
44	-1.54423759924198	13
45	-1.515417405046	15
46	-1.48659721085002	20
47	-1.45777701665404	29
48	-1.42895682245807	22
49	-1.40013662826209	18
50	-1.37131643406611	27
51	-1.34249623987013	11
52	-1.31367604567415	27
53	-1.28485585147817	21
54	-1.2560356572822	16
55	-1.22721546308622	23
56	-1.19839526889024	21
57	-1.16957507469426	15
58	-1.14075488049828	25
59	-1.11193468630231	28
60	-1.08311449210633	15
61	-1.05429429791035	16
62	-1.02547410371437	22
63	-0.996653909518394	19
64	-0.967833715322416	27
65	-0.939013521126438	19
66	-0.910193326930459	16
67	-0.881373132734481	20
68	-0.852552938538503	14
69	-0.823732744342525	17
70	-0.794912550146547	15
71	-0.766092355950569	15
72	-0.737272161754591	22
73	-0.708451967558613	27
74	-0.679631773362635	11
75	-0.650811579166657	21
76	-0.621991384970679	12
77	-0.5931711907747	8
78	-0.564350996578722	27
79	-0.535530802382744	21
80	-0.506710608186766	25
81	-0.477890413990788	13
82	-0.44907021979481	19
83	-0.420250025598832	20
84	-0.391429831402853	21
