 0.1033       39.34
 0.1324       34.05
 0.1616       26.51
 0.1908       33.60
 0.2199       36.42
 0.2491       36.88
 0.2782       33.24
 0.3074       38.19
 0.3366       48.42
 0.3657       40.19
 0.3949       36.03
 0.4240       35.11
 0.4532       45.30
 0.4824       44.10
 0.5115       40.98
 0.5407       43.68
 0.5698       43.95
 0.5990       44.54
 0.6282       50.50
 0.6573       49.91
 0.6865       47.39
 0.7156       46.90
 0.7448       44.37
 0.7740       44.24
 0.8031       41.11
 0.8323       44.54
 0.8614       42.13
 0.8906       46.23
 0.9198       48.58
 0.9489       47.02
 0.9781       46.40
 1.0072       45.10
 1.0364       43.24
 1.0656       42.20
 1.0947       46.80
 1.1239       45.57
 1.1530       44.17
 1.1822       44.40
 1.2114       48.85
 1.2405       53.85
 1.2697       41.77
 1.2988       40.41
 1.3280       35.51
 1.3572       32.99
 1.3863       46.17
 1.4155       45.81
 1.4446       52.09
 1.4738       46.76
 1.5030       43.72
 1.5321       45.47
 1.5613       44.51
 1.5904       56.86
 1.6196       44.87
 1.6488       43.12
 1.6779       47.16
 1.7071       48.80
 1.7362       44.12
 1.7654       43.00
 1.7946       42.16
 1.8237       36.91
 1.8529       43.74
 1.8820       45.00
 1.9112       52.06
 1.9404       46.74
 1.9695       46.00
 1.9987       43.25
 2.0278       37.43
 2.0570       48.28
 2.0862       57.56
 2.1153       43.56
 2.1445       49.82
 2.1736       44.09
 2.2028       47.99
 2.2320       49.99
 2.2611       49.25
 2.2903       61.69
 2.3194       52.00
 2.3486       51.63
 2.3778       44.61
 2.4069       39.08
 2.4361       40.96
 2.4652       51.79
 2.4944       57.46
 2.5236       45.48
 2.5527       53.90
 2.5819       80.26
 2.6110       45.07
 2.6402       42.49
 2.6694       53.76
 2.6985       48.94
 2.7277       53.60
 2.7568       55.16
 2.7860       49.78
 2.8152       44.10
 2.8443       50.02
 2.8735       48.02
 2.9026       53.40
 2.9318       58.61
 2.9610       51.53
 2.9901       46.90
 3.0193       53.51
 3.0484       47.36
 3.0776       44.67
 3.1068       47.17
 3.1359       51.67
 3.1651       47.86
 3.1942       52.71
 3.2234       48.66
 3.2526       51.60
 3.2817       47.87
 3.3109       49.47
 3.3400       46.00
 3.3692       46.44
 3.3984       47.91
 3.4275       46.21
 3.4567       49.67
 3.4858       53.10
 3.5150       59.96
 3.5442       60.82
 3.5733       55.16
 3.6025       56.88
 3.6316       51.75
 3.6608       47.34
 3.6900       53.32
 3.7191       55.56
 3.7483       50.66
 3.7774       54.36
 3.8066       48.90
 3.8358       48.56
 3.8649       48.86
 3.8941       57.22
 3.9232       57.16
 3.9524       48.06
 3.9816       49.70
 4.0107       58.13
 4.0399       57.54
 4.0690       50.38
 4.0982       40.15
 4.1274       47.86
 4.1565       50.53
 4.1857       41.06
 4.2148       51.61
 4.2440       52.93
 4.2732       50.45
 4.3023       44.49
 4.3315       49.38
 4.3606       47.77
 4.3898       53.55
 4.4190       64.95
 4.4481       53.56
 4.4773       43.35
 4.5064       52.33
 4.5356       48.77
 4.5648       51.53
 4.5939       51.11
 4.6231       50.10
 4.6522       57.30
 4.6814       58.92
 4.7106       50.60
 4.7397       51.89
 4.7689       47.23
 4.7980       53.75
 4.8272       54.97
 4.8564       59.92
 4.8855       58.01
 4.9147       53.95
 4.9438       44.30
 4.9730       63.90
 5.0022       59.82
 5.0313       54.18
 5.0605       38.17
 5.0896       57.34
 5.1188       48.91
 5.1480       60.09
 5.1771       59.95
 5.2063       49.89
 5.2354       48.88
 5.2646       49.26
 5.2938       56.64
 5.3229       48.87
 5.3521       52.44
 5.3812       44.66
 5.4104       50.81
 5.4396       62.89
 5.4687       58.39
 5.4979       61.43
 5.5270       65.07
 5.5562       58.45
 5.5854       60.70
 5.6145       63.00
 5.6437       59.96
 5.6728       52.84
 5.7020       55.54
 5.7312       50.41
 5.7603       55.17
 5.7895       59.81
 5.8186       57.46
 5.8478       48.78
 5.8770       63.31
 5.9061       68.68
 5.9353       68.95
 5.9644       60.53
 5.9936       53.79
 6.0228       61.62
 6.0519       60.61
 6.0811       59.21
 6.1102       57.59
 6.1394       54.09
 6.1686       52.98
 6.1977       64.82
 6.2269       76.77
 6.2560       71.75
 6.2852       59.76
 6.3144       55.53
 6.3435       67.98
 6.3727       75.63
 6.4018       74.99
 6.4310       86.08
 6.4602       85.31
 6.4893       78.42
 6.5185       71.11
 6.5476       68.72
 6.5768       64.36
 6.6060       59.56
 6.6351       69.15
 6.6643       79.48
 6.6934       84.36
 6.7226       82.41
 6.7518       77.57
 6.7809       71.69
 6.8101       79.00
 6.8392       91.34
 6.8684       88.57
 6.8976       81.09
 6.9267       92.20
 6.9559       84.95
 6.9850       71.90
 7.0142       90.27
 7.0434       95.14
 7.0725       87.37
 7.1017       92.12
 7.1308       93.56
 7.1600      106.13
 7.1892      111.74
 7.2183      113.49
 7.2475      114.00
 7.2766      119.34
 7.3058      121.00
 7.3350      123.34
 7.3641      144.50
 7.3933      153.19
 7.4224      154.00
 7.4516      151.56
 7.4808      185.50
 7.5099      234.49
 7.5391      234.62
 7.5682      283.77
 7.5974      342.55
 7.6266      375.15
 7.6557      396.41
 7.6849      519.37
 7.7140      775.40
 7.7432     1065.46
 7.7724     1529.28
 7.8015     1868.32
 7.8307     2313.12
 7.8598     2775.26
 7.8890     3183.69
 7.9182     3645.31
 7.9473     3981.72
 7.9765     4408.92
 8.0056     4721.52
 8.0348     5024.99
 8.0640     5308.69
 8.0931     5535.49
 8.1223     5808.04
 8.1514     6182.93
 8.1806     6167.65
